public_food_id_compound_id_name,contribution
FOOD00015 _ FDB003521 _ Potassium,0.238132197946644
FOOD00015 _ FDB003523 _ Sodium,0.070503885549876
FOOD00015 _ FDB003570 _ Aluminum,3.66121020500222E-05
FOOD00015 _ FDB003575 _ Boron,0.000421236012834
FOOD00015 _ FDB003582 _ Copper,2.9132210233351E-05
FOOD00015 _ FDB003636 _ Manganese,0.000133850695667
FOOD00015 _ FDB003713 _ Silicon,1.57471406666762E-05
FOOD00015 _ FDB003717 _ Sulfur,0.004330463683336
FOOD00015 _ FDB003729 _ Zinc,0.0001771553325
FOOD00015 _ FDB003763 _ Arsenic,3.93678516666906E-07
FOOD00015 _ FDB003766 _ Cadmium,1.43692658583421E-06
FOOD00015 _ FDB003777 _ Lead,7.9129381850048E-06
FOOD00015 _ FDB003780 _ Mercury,1.06293199500065E-07
FOOD00015 _ FDB003839 _ beta-Eudesmol,0.001184972335167
FOOD00015 _ FDB003844 _ cis-Ligustilide,2.36207110000143E-05
"FOOD00015 _ FDB003895 _ 3-N-Butyl-4,5-dihydrophthalide",0.001062931995001
FOOD00015 _ FDB008322 _ Pantothenic acid,0.000145661051167
FOOD00015 _ FDB010229 _ Santalol (alpha and beta),0.007968053177338
FOOD00015 _ FDB011856 _ L-Histidine,0.009979750397506
FOOD00015 _ FDB011862 _ 3-Butyl-1(3H)-isobenzofuranone,0.007243684706671
FOOD00015 _ FDB011999 _ L-Threonine,0.016908492290844
FOOD00015 _ FDB012027 _ Decanoic acid,0.001625892273834
FOOD00015 _ FDB012083 _ Propanal,2.36207110000143E-05
FOOD00015 _ FDB012160 _ Riboflavine,0.000133850695667
FOOD00015 _ FDB012397 _ L-Isoleucine,0.017676165398344
FOOD00015 _ FDB012462 _ alpha-Linolenic acid,0.016353405582343
FOOD00015 _ FDB012474 _ Xanthotoxin,3.93678516666906E-06
FOOD00015 _ FDB012535 _ L-Glutamic acid,0.075369752015879
FOOD00015 _ FDB012563 _ L-Cystine,0.003129744207502
FOOD00015 _ FDB012567 _ L-Aspartic acid,0.098458997018393
FOOD00015 _ FDB012605 _ Psoralen,7.0862133000043E-07
FOOD00015 _ FDB012613 _ Ligustilide,7.87357033333811E-06
FOOD00015 _ FDB012683 _ L-Methionine,0.004606038645003
FOOD00015 _ FDB012739 _ L-Serine,0.01694786014251
"FOOD00015 _ FDB012760 _ (Z,Z)-9,12-Octadecadienoic acid",0.00469264791867
FOOD00015 _ FDB012857 _ Neocnidilide,0.001299139105001
FOOD00015 _ FDB012858 _ Oleic acid,0.019998868646679
FOOD00015 _ FDB013444 _ Nickel,3.70057805666891E-06
FOOD00015 _ FDB013601 _ beta-Selinene,0.03280916757902
FOOD00015 _ FDB014416 _ alpha-Terpineol,7.87357033333811E-06
FOOD00015 _ FDB014577 _ beta-Elemene,0.003448623806002
FOOD00015 _ FDB014601 _ p-Menth-1-en-4-ol,0.005515436018503
FOOD00015 _ FDB014613 _ beta-Carotene,0.000570833849167
FOOD00015 _ FDB014614 _ Carvone,7.87357033333811E-06
FOOD00015 _ FDB014910 _ Perillaldehyde,7.87357033333811E-06
FOOD00015 _ FDB014940 _ Linalool,7.87357033333811E-06
FOOD00015 _ FDB015360 _ alpha-Humulene,0.010889147771007
FOOD00015 _ FDB015464 _ beta-Pinene,0.001051121639501
FOOD00015 _ FDB015736 _ beta-Caryophyllene,0.004606038645003
FOOD00015 _ FDB016251 _ Iron,0.001377874808334
FOOD00015 _ FDB017358 _ 1-Isopropyl-4-methylbenzene,0.003798997685836
"FOOD00015 _ FDB017400 _ 7-Methyl-3-methylene-1,6-octadiene",0.001929024731668
FOOD00015 _ FDB021453 _ Pectic acid,0.023620711000014
FOOD00016 _ FDB000446 _ L-Tyrosine,0.0163872422252
FOOD00016 _ FDB000474 _ L-Lysine,0.0137663013103
FOOD00016 _ FDB000484 _ Glycine,0.023900697878646
FOOD00016 _ FDB000514 _ Syringic acid,7.01485104486481E-05
FOOD00016 _ FDB000556 _ L-Alanine,0.015492504851732
FOOD00016 _ FDB000565 _ alpha-Tocopherol,0.000122416028038
FOOD00016 _ FDB000574 _ Pyridoxine,4.58028509399997E-06
FOOD00016 _ FDB000844 _ Gentisic acid,1.92564538486485E-05
FOOD00016 _ FDB000846 _ Vanillic acid,5.91448225351347E-05
FOOD00016 _ FDB001014 _ Nicotinic acid,6.18957445135131E-05
FOOD00016 _ FDB001182 _ Cellulose,0.048141134621621
FOOD00016 _ FDB001224 _ L-Ascorbic acid,0.003808651479065
FOOD00016 _ FDB001946 _ L-Leucine,0.025867607093186
FOOD00016 _ FDB002250 _ L-Tryptophan,0.004030788428819
FOOD00016 _ FDB002257 _ Arginine,0.0469733682418
FOOD00016 _ FDB002431 _ gamma-Tocopherol,4.81411346216213E-05
FOOD00016 _ FDB002558 _ Caffeic acid,1.5130070881081E-05
FOOD00016 _ FDB002593 _ p-Coumaric acid,2.75092197837836E-05
FOOD00016 _ FDB002700 _ Isoferulic acid,2.75092197837836E-07
FOOD00016 _ FDB003513 _ Calcium,0.016588059529622
FOOD00016 _ FDB003516 _ Chromium,1.10036879135134E-07
FOOD00016 _ FDB003520 _ Phosphorus,0.003186943111951
FOOD00016 _ FDB003521 _ Potassium,0.018293631156216
FOOD00016 _ FDB003523 _ Sodium,0.000206319148378
FOOD00016 _ FDB003570 _ Aluminum,1.92564538486485E-05
FOOD00016 _ FDB003575 _ Boron,1.58178013756756E-05
FOOD00016 _ FDB003581 _ Cobalt,6.8773049459459E-08
FOOD00016 _ FDB003582 _ Copper,1.3479517694054E-05
FOOD00016 _ FDB003636 _ Manganese,2.81969502783782E-05
FOOD00016 _ FDB003717 _ Sulfur,0.002888468077297
FOOD00016 _ FDB003729 _ Zinc,4.53902126432429E-05
FOOD00016 _ FDB003766 _ Cadmium,4.12638296756754E-08
FOOD00016 _ FDB003777 _ Lead,9.62822692432425E-08
FOOD00016 _ FDB004038 _ Isochlorogenic acid,4.12638296756754E-06
FOOD00016 _ FDB008322 _ Pantothenic acid,3.23233332459457E-05
FOOD00016 _ FDB010508 _ 4-Hydroxybenzoic acid,1.92564538486485E-05
FOOD00016 _ FDB010557 _ trans-Sinapic acid,1.92564538486485E-05
FOOD00016 _ FDB011258 _ o-Coumaric acid,1.37546098918918E-05
FOOD00016 _ FDB011856 _ L-Histidine,0.010056683022457
FOOD00016 _ FDB011999 _ L-Threonine,0.011691418408108
FOOD00016 _ FDB012160 _ Riboflavine,2.25575602227025E-05
FOOD00016 _ FDB012397 _ L-Isoleucine,0.01367208223254
FOOD00016 _ FDB012462 _ alpha-Linolenic acid,9.62822692432425E-05
FOOD00016 _ FDB012535 _ L-Glutamic acid,0.082480205947224
FOOD00016 _ FDB012563 _ L-Cystine,0.004724708497865
FOOD00016 _ FDB012567 _ L-Aspartic acid,0.04736262370174
FOOD00016 _ FDB012683 _ L-Methionine,0.004167646797243
FOOD00016 _ FDB012739 _ L-Serine,0.019305970444259
"FOOD00016 _ FDB012760 _ (Z,Z)-9,12-Octadecadienoic acid",0.233109689795309
FOOD00016 _ FDB012801 _ Ferulic acid,6.18957445135131E-05
FOOD00016 _ FDB012858 _ Oleic acid,0.324357771818119
FOOD00016 _ FDB013400 _ Selenium,2.75092197837836E-08
FOOD00016 _ FDB014504 _ Folic acid,2.75092197837836E-06
FOOD00016 _ FDB014613 _ beta-Carotene,0.000300538226138
FOOD00016 _ FDB016251 _ Iron,0.000162992127219
